Timestamp,I am currently enrolled in a college/university in Metro Manila. ,I acknowledge that my responses will remain anonymous and will be used solely for academic research purposes. ,School Type,Program/Course,Discipline,Year Level,What is your current General Weighted Average (GWA)? ,How often do you use AI to correct grammar and spelling in your schoolwork?  ,How difficult is correcting grammar and spelling for you?  ,How often do you use AI to rephrase sentences for clarity? ,How difficult is rephrasing sentences for you? ,"How often do you use AI to summarize articles, lectures, or videos? ",How difficult is summarizing for you? ,How often do you use AI to find or cite sources with short notes? ,How difficult is finding and citing sources for you?,How often do you use AI to brainstorm ideas or perspectives for assignments? ,How difficult is brainstorming ideas for you? ,How often do you use AI to generate outlines or structures for essays or projects? ,How difficult is making outlines or structures for you? ,"How often do you use AI to help you explain multi-step solutions? (i.e. math problems, coding exercises, or scientific procedures) ",How difficult is explaining multi-step solutions for you? ,How often do you use AI to solve complex or original problems? ,How difficult are complex or original problems for you? ,I feel confident using AI tools to support my schoolwork.,I can figure out how to use new AI features on my own. ,I can complete most academic tasks successfully when I use AI. ,I often feel unsure about the right way to use AI for my tasks. ,"I can troubleshoot basic AI issues (prompts, settings, exporting) without help. ",AI helps me finish academic work more efficiently. ,Using AI allows me to accomplish more in the same amount of time.  ,"AI reduces time spent on low-level steps (e.g., formatting, basic edits). ",Using AI usually slows me down. ,"With AI, I can focus more on higher-level thinking. ","Overall, how often do you use any AI tool for schoolwork? ",Using AI for class tasks feels straightforward to me. ,"Overall, AI makes my study time more effective.  ","You must draft a 1,500-word essay from scratch in 24 hours. How likely are you to use AI to generate the outline? (1-5) ",Raffle Entry: https://forms.gle/S7md6RL5ix6GNMsw8,If you want to enter our giveaway,total_dependency,profile,over_reliant,over_reliant_tasks,confidence_mean,productivity_mean,overall_ai_use,scenario_outline_likelihood,grammar_spelling_freq,grammar_spelling_diff,grammar_spelling_bloom,grammar_spelling_dep,rephrase_clarity_freq,rephrase_clarity_diff,rephrase_clarity_bloom,rephrase_clarity_dep,summarize_freq,summarize_diff,summarize_bloom,summarize_dep,find_cite_sources_freq,find_cite_sources_diff,find_cite_sources_bloom,find_cite_sources_dep,brainstorm_freq,brainstorm_diff,brainstorm_bloom,brainstorm_dep,outline_structure_freq,outline_structure_diff,outline_structure_bloom,outline_structure_dep,explain_multistep_freq,explain_multistep_diff,explain_multistep_bloom,explain_multistep_dep,solve_complex_freq,solve_complex_diff,solve_complex_bloom,solve_complex_dep,p75_threshold,high_dependency_p75,cluster_label
9/7/2025 14:41,Yes,Yes,Private Higher Education Institutions,BS IT,STEM,4,1.76-2.00,Occasionally,2,Occasionally,2,Sometimes,3,Sometimes,1,Sometimes,3,Occasionally,2,Often,3,Occasionally,2,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,3,Agree,Agree,3,,,78,Regular,FALSE,,3.8,4,3,3,2,2,1,2,2,2,2,4,3,3,3,9,3,1,3,9,3,3,4,12,2,2,5,10,4,3,5,20,2,2,6,12,97,0,2
9/8/2025 21:37,Yes,Yes,Private Higher Education Institutions,BSBA Major in Operation Management,Non-STEM,1,1.76-2.00,Often,3,Often,2,Always,2,Occasionally,4,Occasionally,2,Never,3,Never,4,Never,3,Neutral,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Agree,4,Neutral,Agree,3,,,57,Strategic,FALSE,,2.4,3.8,4,3,4,3,1,4,4,2,2,8,5,2,3,15,2,4,3,6,2,2,4,8,1,3,5,5,1,4,5,5,1,3,6,6,97,0,0
9/9/2025 7:41,Yes,Yes,Public Higher Education Institutions,BSCRIM ,Non-STEM,4,1.51-1.75,Occasionally,2,Occasionally,2,Never,1,Never,1,Never,1,Never,1,Never,1,Never,1,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,2,Neutral,Neutral,2,,,32,Regular,FALSE,,3.8,3.2,2,2,2,2,1,2,2,2,2,4,1,1,3,3,1,1,3,3,1,1,4,4,1,1,5,5,1,1,5,5,1,1,6,6,97,0,2
9/9/2025 16:03,Yes,Yes,Private Higher Education Institutions,BSBA,STEM,2,1.51-1.75,Occasionally,2,Occasionally,2,Sometimes,2,Never,3,Sometimes,2,Never,2,Sometimes,1,Occasionally,2,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,2,Disagree,Agree,1,,,62,Regular,FALSE,,2.4,2.8,2,1,2,2,1,2,2,2,2,4,3,2,3,9,1,3,3,3,3,2,4,12,1,2,5,5,3,1,5,15,2,2,6,12,97,0,0
9/10/2025 21:21,Yes,Yes,Private Higher Education Institutions,Bachelor in Multimedia Arts,Non-STEM,2,1.26-1.50,Occasionally,2,Occasionally,3,Sometimes,4,Occasionally,3,Never,1,Occasionally,3,Occasionally,2,Sometimes,2,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,2,Agree,Strongly Disagree,2,,,63,Regular,FALSE,,3,2,2,2,2,2,1,2,2,3,2,4,3,4,3,9,2,3,3,6,1,1,4,4,2,3,5,10,2,2,5,10,3,2,6,18,97,0,0
9/10/2025 21:24,Yes,Yes,Private Higher Education Institutions,Bachelor of Multimedia Arts ,Non-STEM,2,1.51-1.75,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,Neutral,Neutral,3,,,87,Regular,FALSE,,3,3,3,3,3,3,1,3,3,3,2,6,3,3,3,9,3,3,3,9,3,3,4,12,3,3,5,15,3,3,5,15,3,3,6,18,97,0,0
9/10/2025 21:27,Yes,Yes,Private Higher Education Institutions,Bachelor of Multimedia Arts ,Non-STEM,1,1.51-1.75,Sometimes,3,Sometimes,4,Sometimes,3,Occasionally,4,Sometimes,3,Sometimes,4,Often,3,Often,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,2,Neutral,Disagree,4,,,95,Regular,FALSE,,3,2.8,2,4,3,3,1,3,3,4,2,6,3,3,3,9,2,4,3,6,3,3,4,12,3,4,5,15,4,3,5,20,4,3,6,24,97,0,0
9/10/2025 21:29,Yes,Yes,Private Higher Education Institutions,Bachelor of Multimedia Arts,Non-STEM,2,1.51-1.75,Sometimes,2,Sometimes,3,Sometimes,3,Never,3,Occasionally,2,Never,1,Sometimes,4,Sometimes,3,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,3,Neutral,Disagree,3,,,67,Regular,FALSE,,2.8,3.4,3,3,3,2,1,3,3,3,2,6,3,3,3,9,1,3,3,3,2,2,4,8,1,1,5,5,3,4,5,15,3,3,6,18,97,0,0
9/12/2025 15:06,Yes,Yes,Public Higher Education Institutions,Bachelor of Applied Science Major in Laboratory Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,2.01-2.50,Sometimes,3,Sometimes,3,Often,3,Occasionally,2,Occasionally,2,Never,1,Often,4,Sometimes,3,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,2,Neutral,Agree,3,,,78,Regular,FALSE,,3.8,3.6,2,3,3,3,1,3,3,3,2,6,4,3,3,12,2,2,3,6,2,2,4,8,1,1,5,5,4,4,5,20,3,3,6,18,97,0,2
9/12/2025 15:08,Yes,Yes,Public Higher Education Institutions,Bachelor of Science in Food Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,2.01-2.50,Often,2,Sometimes,2,Occasionally,2,Always,1,Sometimes,2,Often,2,Sometimes,3,Often,3,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,4,Agree,Agree,5,,,102,Regular,FALSE,,3.6,3.8,4,5,4,2,1,4,3,2,2,6,2,2,3,6,5,1,3,15,3,2,4,12,4,2,5,20,3,3,5,15,4,3,6,24,97,1,1
