Timestamp,I am currently enrolled in a college/university in Metro Manila. ,I acknowledge that my responses will remain anonymous and will be used solely for academic research purposes. ,School Type,Program/Course,Discipline,Year Level,What is your current General Weighted Average (GWA)? ,How often do you use AI to correct grammar and spelling in your schoolwork?  ,How difficult is correcting grammar and spelling for you?  ,How often do you use AI to rephrase sentences for clarity? ,How difficult is rephrasing sentences for you? ,"How often do you use AI to summarize articles, lectures, or videos? ",How difficult is summarizing for you? ,How often do you use AI to find or cite sources with short notes? ,How difficult is finding and citing sources for you?,How often do you use AI to brainstorm ideas or perspectives for assignments? ,How difficult is brainstorming ideas for you? ,How often do you use AI to generate outlines or structures for essays or projects? ,How difficult is making outlines or structures for you? ,"How often do you use AI to help you explain multi-step solutions? (i.e. math problems, coding exercises, or scientific procedures) ",How difficult is explaining multi-step solutions for you? ,How often do you use AI to solve complex or original problems? ,How difficult are complex or original problems for you? ,I feel confident using AI tools to support my schoolwork.,I can figure out how to use new AI features on my own. ,I can complete most academic tasks successfully when I use AI. ,I often feel unsure about the right way to use AI for my tasks. ,"I can troubleshoot basic AI issues (prompts, settings, exporting) without help. ",AI helps me finish academic work more efficiently. ,Using AI allows me to accomplish more in the same amount of time.  ,"AI reduces time spent on low-level steps (e.g., formatting, basic edits). ",Using AI usually slows me down. ,"With AI, I can focus more on higher-level thinking. ","Overall, how often do you use any AI tool for schoolwork? ",Using AI for class tasks feels straightforward to me. ,"Overall, AI makes my study time more effective.  ","You must draft a 1,500-word essay from scratch in 24 hours. How likely are you to use AI to generate the outline? (1–5) ",Raffle Entry: https://forms.gle/S7md6RL5ix6GNMsw8,If you want to enter our giveaway,total_dependency,profile,over_reliant,over_reliant_tasks,confidence_mean,productivity_mean,overall_ai_use,scenario_outline_likelihood,grammar_spelling_freq,grammar_spelling_diff,grammar_spelling_bloom,grammar_spelling_dep,rephrase_clarity_freq,rephrase_clarity_diff,rephrase_clarity_bloom,rephrase_clarity_dep,summarize_freq,summarize_diff,summarize_bloom,summarize_dep,find_cite_sources_freq,find_cite_sources_diff,find_cite_sources_bloom,find_cite_sources_dep,brainstorm_freq,brainstorm_diff,brainstorm_bloom,brainstorm_dep,outline_structure_freq,outline_structure_diff,outline_structure_bloom,outline_structure_dep,explain_multistep_freq,explain_multistep_diff,explain_multistep_bloom,explain_multistep_dep,solve_complex_freq,solve_complex_diff,solve_complex_bloom,solve_complex_dep,p75_threshold,high_dependency_p75
9/7/2025 14:41:25,Yes,Yes,Private Higher Education Institutions,BS IT,STEM,4,1.76–2.00,Occasionally,2.0,Occasionally,2.0,Sometimes,3.0,Sometimes,1.0,Sometimes,3.0,Occasionally,2.0,Often,3.0,Occasionally,2.0,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,3.0,Agree,Agree,3.0,,,78.0,Regular,False,,3.8,4.0,3.0,3.0,2.0,2.0,1,2.0,2.0,2.0,2,4.0,3.0,3.0,3,9.0,3.0,1.0,3,9.0,3.0,3.0,4,12.0,2.0,2.0,5,10.0,4.0,3.0,5,20.0,2.0,2.0,6,12.0,97.0,0
9/8/2025 21:37:20,Yes,Yes,Private Higher Education Institutions,BSBA Major in Operation Management,Non-STEM,1,1.76–2.00,Often,3.0,Often,2.0,Always,2.0,Occasionally,4.0,Occasionally,2.0,Never,3.0,Never,4.0,Never,3.0,Neutral,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Agree,4.0,Neutral,Agree,3.0,,,57.0,Strategic,False,,2.4,3.8,4.0,3.0,4.0,3.0,1,4.0,4.0,2.0,2,8.0,5.0,2.0,3,15.0,2.0,4.0,3,6.0,2.0,2.0,4,8.0,1.0,3.0,5,5.0,1.0,4.0,5,5.0,1.0,3.0,6,6.0,97.0,0
9/9/2025 7:41:05,Yes,Yes,Public Higher Education Institutions,BSCRIM ,Non-STEM,4,1.51–1.75,Occasionally,2.0,Occasionally,2.0,Never,1.0,Never,1.0,Never,1.0,Never,1.0,Never,1.0,Never,1.0,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,2.0,Neutral,Neutral,2.0,,,32.0,Regular,False,,3.8,3.2,2.0,2.0,2.0,2.0,1,2.0,2.0,2.0,2,4.0,1.0,1.0,3,3.0,1.0,1.0,3,3.0,1.0,1.0,4,4.0,1.0,1.0,5,5.0,1.0,1.0,5,5.0,1.0,1.0,6,6.0,97.0,0
9/9/2025 16:03:17,Yes,Yes,Private Higher Education Institutions,BSBA,STEM,2,1.51–1.75,Occasionally,2.0,Occasionally,2.0,Sometimes,2.0,Never,3.0,Sometimes,2.0,Never,2.0,Sometimes,1.0,Occasionally,2.0,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,2.0,Disagree,Agree,1.0,,,62.0,Regular,False,,2.4,2.8,2.0,1.0,2.0,2.0,1,2.0,2.0,2.0,2,4.0,3.0,2.0,3,9.0,1.0,3.0,3,3.0,3.0,2.0,4,12.0,1.0,2.0,5,5.0,3.0,1.0,5,15.0,2.0,2.0,6,12.0,97.0,0
9/10/2025 21:21:07,Yes,Yes,Private Higher Education Institutions,Bachelor in Multimedia Arts,Non-STEM,2,1.26–1.50,Occasionally,2.0,Occasionally,3.0,Sometimes,4.0,Occasionally,3.0,Never,1.0,Occasionally,3.0,Occasionally,2.0,Sometimes,2.0,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,2.0,Agree,Strongly Disagree,2.0,,,63.0,Regular,False,,3.0,2.0,2.0,2.0,2.0,2.0,1,2.0,2.0,3.0,2,4.0,3.0,4.0,3,9.0,2.0,3.0,3,6.0,1.0,1.0,4,4.0,2.0,3.0,5,10.0,2.0,2.0,5,10.0,3.0,2.0,6,18.0,97.0,0
9/10/2025 21:24:41,Yes,Yes,Private Higher Education Institutions,Bachelor of Multimedia Arts ,Non-STEM,2,1.51–1.75,Sometimes,3.0,Sometimes,3.0,Sometimes,3.0,Sometimes,3.0,Sometimes,3.0,Sometimes,3.0,Sometimes,3.0,Sometimes,3.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.0,Neutral,Neutral,3.0,,,87.0,Regular,False,,3.0,3.0,3.0,3.0,3.0,3.0,1,3.0,3.0,3.0,2,6.0,3.0,3.0,3,9.0,3.0,3.0,3,9.0,3.0,3.0,4,12.0,3.0,3.0,5,15.0,3.0,3.0,5,15.0,3.0,3.0,6,18.0,97.0,0
9/10/2025 21:27:59,Yes,Yes,Private Higher Education Institutions,Bachelor of Multimedia Arts ,Non-STEM,1,1.51–1.75,Sometimes,3.0,Sometimes,4.0,Sometimes,3.0,Occasionally,4.0,Sometimes,3.0,Sometimes,4.0,Often,3.0,Often,3.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,2.0,Neutral,Disagree,4.0,,,95.0,Regular,False,,3.0,2.8,2.0,4.0,3.0,3.0,1,3.0,3.0,4.0,2,6.0,3.0,3.0,3,9.0,2.0,4.0,3,6.0,3.0,3.0,4,12.0,3.0,4.0,5,15.0,4.0,3.0,5,20.0,4.0,3.0,6,24.0,97.0,0
9/10/2025 21:29:55,Yes,Yes,Private Higher Education Institutions,Bachelor of Multimedia Arts,Non-STEM,2,1.51–1.75,Sometimes,2.0,Sometimes,3.0,Sometimes,3.0,Never,3.0,Occasionally,2.0,Never,1.0,Sometimes,4.0,Sometimes,3.0,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,3.0,Neutral,Disagree,3.0,,,67.0,Regular,False,,2.8,3.4,3.0,3.0,3.0,2.0,1,3.0,3.0,3.0,2,6.0,3.0,3.0,3,9.0,1.0,3.0,3,3.0,2.0,2.0,4,8.0,1.0,1.0,5,5.0,3.0,4.0,5,15.0,3.0,3.0,6,18.0,97.0,0
9/12/2025 15:06:37,Yes,Yes,Public Higher Education Institutions,Bachelor of Applied Science Major in Laboratory Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,2.01–2.50,Sometimes,3.0,Sometimes,3.0,Often,3.0,Occasionally,2.0,Occasionally,2.0,Never,1.0,Often,4.0,Sometimes,3.0,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,2.0,Neutral,Agree,3.0,,,78.0,Regular,False,,3.8,3.6,2.0,3.0,3.0,3.0,1,3.0,3.0,3.0,2,6.0,4.0,3.0,3,12.0,2.0,2.0,3,6.0,2.0,2.0,4,8.0,1.0,1.0,5,5.0,4.0,4.0,5,20.0,3.0,3.0,6,18.0,97.0,0
9/12/2025 15:08:30,Yes,Yes,Public Higher Education Institutions,Bachelor of Science in Food Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,2.01–2.50,Often,2.0,Sometimes,2.0,Occasionally,2.0,Always,1.0,Sometimes,2.0,Often,2.0,Sometimes,3.0,Often,3.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,4.0,Agree,Agree,5.0,,,102.0,Regular,False,,3.6,3.8,4.0,5.0,4.0,2.0,1,4.0,3.0,2.0,2,6.0,2.0,2.0,3,6.0,5.0,1.0,3,15.0,3.0,2.0,4,12.0,4.0,2.0,5,20.0,3.0,3.0,5,15.0,4.0,3.0,6,24.0,97.0,1
